Species,french,english
NA,TBI,Frequency
NA,Helu,Number
NA,TBI,Biomass
NA,IRD,IRD
NA,TBI,Index of Relative Dominance
Acanthurus nigrofuscus,Maiii,Brown surgeonfish
Melichthys niger,Humuhumu elele,Black triggerfish
Ctenochaetus strigosus a,Kole,Goldring surgeonfish
Thalassoma duperreya,Hinalea lauwili,Saddle wrasse
Naso lituratus,Umaumalei,Orangespine unicornfish
Chlorurus sordidus,Uhu,Bullethead parrotfish
Acanthurus leucopareius,Maikoiko,Whitebar surgeonfish
Scarus rubroviolaceus,Palukaluka,Redlip parrotfish
Zebrasoma flavescens,Lauipala,Yellow Tang
Acanthurus triostegusb,Manini,Convict tang
Acanthurus olivaceus,Naenae,Orangeband surgeonfish
Scarus psittacus,Uhu,Palenose parrotfish
Chlorurus perspicillatus a,Uhu uliuli,Spectacled parrotfish
Abudefduf abdominalisa,Mamo,Sergeant Major
Stegastes fasciolatus,TBI,Pacific Gregory
Parupeneus multifasciatus,Moano,Manybar goatfish
Cephalopholis argus c,TBI,Blue spot grouper
Naso unicornis,Kala,Bluespine unicornfish
Rhinecanthus rectangulus,Humuhumunukunukuapuaa,Reef triggerfish
Chromis vanderbilti,TBI,Blackfin chromis
