Family,Taxon name,Hawaiian name,Common name,Frequency,Number,Biomass,IRD
Acanthuridae,Acanthurus nigrofuscus,Maiii,Brown surgeonfish,81.59,11.98,6.28,512.07
Balistidae,Melichthys niger,Humuhumu elele,Black triggerfish,36.82,2.31,13.25,487.72
Acanthuridae,Ctenochaetus strigosus a,Kole,Goldring surgeonfish,62.76,7.35,6.52,408.95
Labridae,Thalassoma duperreya,Hinalea lauwili,Saddle wrasse,99.58,11.67,3.4,338.27
Acanthuridae,Naso lituratus,Umaumalei,Orangespine unicornfish,49.37,1.34,4.39,216.65
Scaridae,Chlorurus sordidus,Uhu,Bullethead parrotfish,39.33,2.02,3.95,155.29
Acanthuridae,Acanthurus leucopareius,Maikoiko,Whitebar surgeonfish,28.87,2.29,5.1,147.27
Scaridae,Scarus rubroviolaceus,Palukaluka,Redlip parrotfish,23.01,0.31,4.42,101.68
Acanthuridae,Zebrasoma flavescens,Lauipala,Yellow Tang,34.31,2.37,2.68,92.1
Acanthuridae,Acanthurus triostegusb,Manini,Convict tang,24.27,3.31,3.66,88.87
Acanthuridae,Acanthurus olivaceus,Naenae,Orangeband surgeonfish,31.38,0.95,2.72,85.23
Scaridae,Scarus psittacus,Uhu,Palenose parrotfish,39.75,2.45,1.71,67.86
Scaridae,Chlorurus perspicillatus a,Uhu uliuli,Spectacled parrotfish,15.9,0.44,4.18,66.4
Pomacentridae,Abudefduf abdominalisa,Mamo,Sergeant Major,17.57,4.11,3.42,60.13
Pomacentridae,Stegastes fasciolatus,,Pacific Gregory,69.46,3.1,0.76,52.83
Mullidae,Parupeneus multifasciatus,Moano,Manybar goatfish,48.95,0.84,0.87,42.38
Serranidae,Cephalopholis argus c,,Blue spot grouper,23.43,0.26,1.75,40.99
Acanthuridae,Naso unicornis,Kala,Bluespine unicornfish,9.62,0.32,3.58,34.42
Balistidae,Rhinecanthus rectangulus,Humuhumunukunukuapuaa,Reef triggerfish,34.73,0.56,0.96,33.28
Pomacentridae,Chromis vanderbilti,,Blackfin chromis,48.12,9.09,0.59,28.29
